gender,first_name,last_name,weight,NHS_number,DOB,house_number,street,city,postcode,synchronous_tumour_indicator,pathology_investigation_type,lesion_size,number_of_lesions,outcome
Female,Maude,Jackson,50,256 3138 8154,12/17/1977,1.0,ANDREW TERRACE,ABERTILLERY,NP132JL,0.116681608,0,0.852171826,11,0
Female,Leanne,Potter,44,640 0311 3044,5/25/1969,15.0,BLINKBONNY ROAD,CURRIE,EH146AE,0.9166268590000001,1,0.7091757390000001,6,0
Male,Johnie,Carney,82,113 2535 9715,1/10/1954,1.0,ABINGER GARDENS,ISLEWORTH,TW7 6LG,0.312162899,1,1.5337132,11,1
Female,Susanne,Joseph,60,807 8602 0184,4/17/1959,1.0,BEVERLEY CLOSE,LONDON SW13,SW130EH,0.040120166,0,0.40013480100000004,16,0
Non-binary,Cora,Blackburn,53,657 6533 0112,8/24/1983,1.0,ABBEYFIELD HOUSE,COWES,PO318HA,0.143842912,0,0.116941244,24,0
Female,Naomi,Jacobs,43,163 8488 3187,3/18/1995,1.0,BALBIRNIE AVENUE,GLENROTHES,KY7 6BS,0.397704381,1,3012.0,12,0
Female,Amparo,Campos,47,038 1344 9065,1/10/1954,1.0,ABINGER GARDENS,ISLEWORTH,TW7 6LG,0.187651029,0,1868.0,4,0
Male,Leopoldo,Mcgee,60,176 5520 9538,5/28/1995,3.0,ADDISON ROAD,HOVE,BN3 1TN,0.9999998999999999,0,107.0,0,1
Female,Inez,Kane,43,176 9629 3952,9/13/1980,,BLACK WYCHEND,BROMYARD,HR7 4JG,0.9999998999999999,0,8934.0,12,0
Female,Rachael,Newman,42,411 9366 0803,10/9/1988,1.0,ABERGELDIE ROAD,LONDON SE12,SE128BH,0.076530054,0,0.050649783,9,0
Female,Wilma,Gray,46,709 7148 6510,9/2/1965,1.0,ABBERLEY DRIVE,DROITWICH,WR9 8NY,0.167035049,0,152.0,7,0
,,,55,652 3682 9395,8/13/1962,1.0,MORFA MAWR,LLANBEDR,LL452EQ,0.15853968599999999,0,0.455997097,11,0
Non-binary,Flossie,Mcpherson,47,529 3897 1125,5/25/1962,,BETCHWORTH LODGE,BETCHWORTH,RH3 7BW,0.277453758,1,0.26261887300000003,10,0
Non-binary,Lilia,Collins,46,815 5312 6606,8/13/1962,1.0,MORFA MAWR,LLANBEDR,LL452EQ,0.11197421699999999,0,2613.0,9,0
Female,Reba,Potts,43,902 5139 5643,9/6/1966,8.0,MERSEY ROAD,LIVERPOOL,L23 3AG,0.9999998999999999,0,0.169491525,3,0
Female,Benita,Mcgee,58,252 0214 8816,12/17/1977,1.0,ANDREW TERRACE,ABERTILLERY,NP132JL,0.00243525,0,0.304122253,11,0
,,,87,785 2119 5348,3/18/1995,1.0,BALBIRNIE AVENUE,GLENROTHES,KY7 6BS,0.330834583,0,0.262607905,6,0
Male,Ernie,Holden,88,037 9181 5398,12/30/1937,1.0,ADMIRAL COURT,LONDON NW4,NW4 4QD,0.06991573400000001,0,0.36369268899999996,14,0
,,,72,022 0011 2075,8/24/1983,1.0,ABBEYFIELD HOUSE,COWES,PO318HA,0.051998894000000004,0,0.16324087,9,0
Female,Amber,Mendoza,56,192 8484 8800,7/14/1969,,ACHANDUNIE,ALNESS,IV170YB,0.066781779,0,2754.0,5,0
Male,Emanuel,Nichols,59,742 0784 1671,7/14/1969,,ACHANDUNIE,ALNESS,IV170YB,0.22810905899999998,0,0.111087844,8,0
,,,58,820 2751 7108,7/20/1989,1.0,ALLINGHAM COURT,GODALMING,GU7 3AW,0.013173337,0,0.38237394700000005,9,0
Non-binary,Sondra,Reyes,59,872 8264 4402,6/14/1991,2.0,AKEMAN COURT,CIRENCESTER,GL7 1LL,0.0023848370000000003,0,0.21972534300000002,6,0
,,,58,419 7744 1865,8/24/1983,1.0,ABBEYFIELD HOUSE,COWES,PO318HA,0.094813059,0,0.232323232,5,0
,,,46,865 6020 8038,8/14/1994,33.0,ARGYLE STREET,LOSSIEMOUTH,IV316AP,0.0,0,0.085987848,12,0
Female,Sheri,Spears,43,147 4936 2763,1/10/1954,1.0,ABINGER GARDENS,ISLEWORTH,TW7 6LG,0.6099454470000001,0,0.075452716,7,0
Female,Beverly,Rosales,45,146 1089 1290,1/10/1954,1.0,ABINGER GARDENS,ISLEWORTH,TW7 6LG,0.144981413,0,2739.0,8,0
Male,Tod,Holcomb,76,909 6885 1641,3/31/1966,1.0,ABERDEEN TERRACE,LONDON SE3,SE3 0QX,0.833379133,0,0.49425727399999997,10,1
Female,Juliana,Rowland,47,475 3313 8790,8/24/1983,1.0,ABBEYFIELD HOUSE,COWES,PO318HA,0.9999998999999999,0,0.107400131,0,0
,,,53,917 4840 2877,5/14/1961,1.0,OSBORNE COURT,PRESTONPANS,EH320JS,0.030746157000000003,0,0.419058094,14,0
Female,Bertie,Slater,50,833 4504 7928,8/23/1981,1.0,CLOS TYNIAD GLO,BARRY,CF634QQ,0.013498313,2,1066.0,12,0
Female,Lourdes,Hull,47,730 5343 2167,8/14/1994,33.0,ARGYLE STREET,LOSSIEMOUTH,IV316AP,0.024216612999999998,0,0.28718233600000004,6,0
Male,Arnulfo,Pittman,68,521 0626 2578,3/18/1995,1.0,BALBIRNIE AVENUE,GLENROTHES,KY7 6BS,0.032048911,0,0.004570993,26,0
